nct_id,repo,age_m,age_s,male,female,tot,como_cnt
NCT00046254,csdr,74.67903149976492,10.304875244866935,508,1619,2127,3.219087917254349
NCT00049829,csdr,73.2,5.4,0,7765,7765,2.363683193818416
NCT00051558,csdr,56.23706293706294,13.745556690679495,84,345,429,3.34032634032634
NCT00094458,yoda,36.10324483775811,12.440555271987668,178,161,339,0.5870206489675516
NCT00106535,csdr,51.95091383812011,12.190353669858318,192,957,1149,1.9013333333333333
NCT00133198,csdr,51.32695652173913,12.952278162765902,129,216,345,2.210227272727273
NCT00144508,csdr,52.85555555555556,12.20124900292301,59,247,306,1.2222222222222223
NCT00152971,csdr,66.10331662167374,9.504466572570506,1099,1494,2593,3.5235903337169163
NCT00168818,csdr,63.93084922010398,10.779145398790003,1509,1953,3462,2.047865459249677
NCT00207662,yoda,37.194225721784775,11.609391309193096,159,222,381,1.146981627296588
NCT00207766,yoda,38.99415642792928,11.06627158232025,144,138,282,1.1453900709219857
NCT00210912,yoda,37.6219512195122,12.110995579146353,48,280,328,0.08536585365853659
NCT00212810,yoda,39.88421052631579,10.959376325970492,41,339,380,0.2789473684210526
NCT00216593,yoda,83.06265060240963,5.429471172088889,81,334,415,2.327710843373494
NCT00231595,yoda,37.912863070539416,13.13918600416348,31,210,241,1.4813278008298756
NCT00236028,yoda,49.569526627218934,12.720571396933204,197,479,676,1.03698224852071
NCT00236431,yoda,69.56281407035176,9.103961600398607,462,533,995,1.4663316582914574
NCT00236509,yoda,40.141630901287556,11.445584561278896,33,200,233,1.6566523605150214
NCT00236561,yoda,40.94326241134752,11.878850519922688,61,221,282,0.2624113475177305
NCT00236574,yoda,70.64124293785311,8.677069218125315,456,606,1062,1.6299435028248588
NCT00262600,csdr,71.39957855043531,8.583198172040795,11479,6554,18033,1.081212388891956
NCT00264537,yoda,49.43887147335423,12.409997743974069,60,259,319,0.9435736677115988
NCT00264550,yoda,50.729729729729726,11.489082715607914,41,181,222,1.1036036036036037
NCT00265083,yoda,39.27981651376147,11.832925086182618,153,65,218,0.8486238532110092
NCT00265096,yoda,47.66795366795367,10.762309342582647,155,104,259,0.9806949806949807
NCT00267969,yoda,45.661458333333336,11.414112192222422,261,123,384,0.4322916666666667
NCT00274599,csdr,52.634975369458125,9.835431727282295,543,269,812,1.6379310344827587
NCT00274612,csdr,53.64119850187266,10.542672244824729,479,322,801,1.181023720349563
NCT00291330,csdr,54.624248340492,15.936827733101493,1493,1068,2561,1.5386115444617785
NCT00299546,yoda,54.256493506493506,12.66567561579397,54,254,308,2.0032467532467533
NCT00307437,yoda,46.758116883116884,12.045237186835678,421,195,616,0.48538961038961037
NCT00329238,csdr,54.64120111731843,15.133730894321868,1746,1118,2864,1.0778087927424982
NCT00348140,csdr,73.13365450791467,8.137179758229678,645,808,1453,2.159757330637007
NCT00348309,csdr,74.1645205479452,7.7956931820995745,578,882,1460,2.128128128128128
NCT00361335,yoda,49.8988326848249,11.101690758373365,51,206,257,1.4396887159533074
NCT00384930,csdr,62.2,8.3,427,0,427,1.8282208588957054
NCT00402233,csdr,62.26463022508038,10.223037067278705,207,104,311,3
NCT00410384,csdr,40.231113801452786,11.511249326679225,57,769,826,3.3883847549909256
NCT00424476,csdr,35.498500576701275,11.032628913882814,44,823,867,2.583044982698962
NCT00428090,csdr,72.38827586206897,8.270787416162635,216,364,580,1.2900302114803626
NCT00439244,csdr,65.1,9.1,0,412,412,2.616788321167883
NCT00466167,csdr,61.524903474903475,9.948646549781687,285,233,518,1.4723032069970845
NCT00472199,csdr,56.8963746223565,12.060248458361652,133,198,331,2.0362537764350455
NCT00479401,csdr,61.58905380333952,9.715474130421233,299,240,539,1.7423312883435582
NCT00487539,yoda,39.527190332326285,13.290710334712651,355,307,662,0.9259818731117825
NCT00488631,yoda,39.32943469785575,12.964745280475887,281,232,513,0.9278752436647173
NCT00552058,csdr,37.42255125284738,12.318585537334714,195,244,439,1.0683371298405466
NCT00558259,csdr,55.84497041420118,15.262882117721562,752,600,1352,1.139689578713969
NCT00657150,csdr,62.11897810218978,11.42327992190951,987,1068,2055,2.2389294403892945
NCT00670501,csdr,68.9,7,0,1732,1732,2.4091743119266056
NCT00680186,csdr,54.85079303675048,16.18533168145315,1568,1017,2585,1.4383932020084975
NCT00694382,csdr,59.58156911581569,10.596537703528032,1930,1282,3212,0.0024898848428260194
NCT00734474,csdr,53.606988352745425,9.850028690002341,559,643,1202,1.41995841995842
NCT00783718,csdr,39.8,13.092671328097746,525,370,895,0.9428129829984544
NCT00827242,csdr,64.1,9.2,325,0,325,0.5415384615384615
NCT00848081,csdr,66.6,9.2,318,0,318,2.59748427672956
NCT00855582,csdr,62.099999999999994,8.1,606,0,606,1.2352941176470587
NCT00856284,csdr,55.39943160287987,9.698623686923199,1312,1327,2639,1.4695849914724275
NCT00861757,csdr,62.5,7.8,629,0,629,1.1518987341772151
NCT00926289,csdr,56.99831838565022,11.493721873758366,479,413,892,0.8464125560538116
NCT00968708,csdr,60.92310536044362,9.899494300060008,3674,1736,5410,2.5663585951940853
NCT00968812,yoda,55.87616099071207,9.096540262699579,505,464,969,1.588235294117647
NCT00970632,csdr,63,8.2,511,0,511,1.0174927113702623
NCT01007435,csdr,50.077555396711936,13.357053165649889,294,1105,1399,1.0587515299877601
NCT01032629,yoda,61.03292894280762,8.097401848476586,1900,985,2885,2.6357019064124785
NCT01064687,csdr,55.12546012269939,9.805034741782332,571,407,978,1.9628378378378377
NCT01075282,csdr,56.20784077201448,9.456908948162866,421,408,829,1.459016393442623
NCT01077362,yoda,47.983870967741936,12.254737840032762,57,67,124,0.33064516129032256
NCT01081834,yoda,54.632183908045974,10.715760973350863,197,238,435,1.374712643678161
NCT01087762,csdr,39.63846153846154,11.635218094000935,200,125,325,1.59375
NCT01087788,csdr,47.22616136919316,10.87450472991552,183,226,409,1.0542168674698795
NCT01106625,yoda,56.35897435897436,8.652972812537733,163,149,312,1.7307692307692308
NCT01106651,yoda,63.252631578947366,6.1379507380487945,272,203,475,2.2926315789473684
NCT01106677,yoda,55.18909090909091,9.360259223117744,259,291,550,1.4127272727272728
NCT01106690,yoda,57.4410480349345,9.882301686151036,139,90,229,1.9344978165938864
NCT01119859,csdr,53.82515337423313,12.679419271138844,63,263,326,2.110429447852761
NCT01126580,csdr,55.081164807930605,10.365754345809481,353,454,807,1.506517690875233
NCT01137812,yoda,56.55026455026455,9.460765265036398,422,334,756,1.933862433862434
NCT01159912,csdr,40.49570200573066,16.488895039846735,144,205,349,0.5965665236051503
NCT01164501,csdr,63.8914979757085,8.839282442844995,432,309,741,1.6080870917573873
NCT01181895,csdr,41.29279538904899,17.066661378328277,143,204,347,0.49783549783549785
NCT01191268,csdr,58.63251121076233,9.198700511777389,475,417,892,1.931323283082077
NCT01209702,csdr,42.160784313725486,11.92997852041542,76,26,102,1.9019607843137256
NCT01224171,csdr,37.42403846153846,12.69642010216129,180,236,416,1.1899038461538463
NCT01232569,csdr,52.07256097560977,11.500535407221903,100,556,656,1.7987804878048779
NCT01264939,csdr,43.15952380952382,14.16339506518708,94,242,336,2.363095238095238
NCT01287117,csdr,41.29090909090909,14.560732024712326,87,232,319,1.173913043478261
NCT01292473,csdr,42.52105263157895,13.685284389679808,78,245,323,1.2468354430379747
NCT01316900,csdr,62.91382978723404,9.02436466589557,585,261,846,1.1552941176470588
NCT01316913,csdr,64.66880733944954,8.43509368439743,592,280,872,1.4054669703872438
NCT01335464,csdr,66.89260700389106,8.339748630826348,415,99,514,2.817120622568093
NCT01335477,csdr,66.66775956284152,7.753482775744292,428,121,549,2.6885245901639343
NCT01358578,csdr,44.09549019607843,13.052918986480272,722,298,1020,0.7940379403794038
NCT01365455,csdr,44.953602305475506,13.221242909081846,474,220,694,1.2293906810035842
NCT01369329,yoda,37.523529411764706,11.788177758522318,222,288,510,0.903921568627451
NCT01369342,yoda,39.66276346604216,13.409883358480485,207,220,427,0.7892271662763466
NCT01369355,yoda,38.322404371584696,12.958085036517055,85,98,183,0.726775956284153
NCT01370005,csdr,60.22024242424242,9.006914277127784,496,329,825,1.3533697632058288
NCT01381900,yoda,49.03973509933775,10.396698417419339,238,215,453,0.5562913907284768
NCT01436110,csdr,36.64672364672364,16.656478253408427,118,233,351,0.2777777777777778
NCT01474512,csdr,45.70000000000001,12.921996450935602,883,413,1296,3.353009259259259
NCT01646177,csdr,45.72736763609247,13.057606452732617,914,427,1341,3.057093425605536
NCT01691521,csdr,50.14288194444445,14.317558136229081,247,329,576,1.2409326424870466
NCT01719003,csdr,52.571932299012694,10.924153181274367,811,607,1418,1.09375
NCT01769378,csdr,57.300999999999995,9.6832458314749,133,167,300,1.1866666666666668
NCT01772134,csdr,63.187520259319285,8.407054272199574,409,208,617,1.6973365617433414
NCT01809327,yoda,52.36708860759494,10.128782443570024,231,243,474,1.4388185654008439
NCT01957163,csdr,64.39450726978998,8.133682945631731,407,212,619,1.5883777239709442
NCT01989754,yoda,62.39256838121452,8.444834945682423,3649,2164,5813,2.6007225184930327
NCT02119286,csdr,62.924354838709675,8.246601320982503,391,229,620,1.5917874396135265
NCT02175355,csdr,63.02213666987488,10.894628029463806,449,590,1039,1.0191387559808611
NCT02177461,csdr,70.6941018766756,5.153268360569322,181,192,373,0.4705882352941177
NCT02236611,csdr,64.0864030858245,8.302027261116088,707,330,1037,1.5371263259402121
NCT00973479,NA,51.8,12.13,109,483,592,0.5700000000000001
NCT00174915,NA,51.6,12.17,1005,67,1072,NA
NCT00289198,NA,37.1,16.36,131,171,302,0.5894039735099338
NCT00321737,NA,48.2,12.6,215,230,445,NA
NCT00321984,NA,47.5,13.9,274,673,947,NA
NCT00363857,NA,52.3,12.9,149,232,381,1.3070866141732282
NCT00381472,NA,66.2,9.4,246,145,391,1.9312977099236641
