Index condition,Treatment comparison,antacids,anxiety,arthritis,asthma_COPD,CV,diabetes,erectile,glaucoma,inflammatory,migraine,osteoporosis,pain,thromboembolic,thyroid
Ankylosing Spondylitis,Tumor necrosis factor alpha (TNF-) inhibitors (L04AB), 0.02 (-0.35 to 0.39), 0.03 (-0.17 to 0.23)," ", 0.20 (-0.11 to 0.50), 0.06 (-0.16 to 0.28)," "," "," "," "," ",-0.10 (-0.42 to 0.21), 0.04 (-0.11 to 0.19)," "," "
Ankylosing Spondylitis,Interleukin inhibitors (L04AC)-IL6,-0.17 (-0.43 to 0.09),-0.02 (-0.22 to 0.18)," ", 0.11 (-0.14 to 0.37),-0.10 (-0.33 to 0.13)," "," "," "," "," ", 0.11 (-0.23 to 0.46)," "," "," "
Asthma,Selective beta-2-adrenoreceptor agonists (R03AC),-1.99 (-7.15 to 3.17),-3.52 (-9.95 to 2.91), 0.89 (-4.48 to 6.25)," ",-0.94 (-3.93 to 2.05)," "," "," "," "," "," ",-2.67 (-7.86 to 2.52)," "," "
Asthma,Glucocorticoids (R03BA),-0.67 (-2.47 to 1.09),-0.22 (-1.93 to 1.46),-0.02 (-1.55 to 1.53)," ",-0.06 (-1.43 to 1.32)," "," "," ", 0.01 (-1.86 to 1.90)," "," ",-0.24 (-1.75 to 1.25)," "," "
Asthma,Other systemic drugs for obstructive airway diseases (R03DX),-0.37 (-2.20 to 1.46), 0.13 (-2.18 to 2.44), 2.55 (-0.05 to 5.14)," ",-0.23 (-2.03 to 1.56)," "," "," ",-1.02 (-2.82 to 0.79)," "," ",-1.26 (-3.52 to 0.99)," "," "
BPH,Drugs used in erectile dysfunction (G04BE),-0.30 (-1.02 to 0.46)," ", 0.07 (-0.66 to 0.77)," ",-0.06 (-0.62 to 0.52),-0.36 (-1.15 to 0.49), 0.00 (-0.67 to 0.66)," "," "," "," ", 0.33 (-0.53 to 1.13)," "," "
CIU,Other systemic drugs for obstructive airway diseases (R03DX), 0.07 (-0.58 to 0.75),-0.66 (-1.25 to -0.08)*, 0.09 (-0.70 to 0.86), 0.10 (-0.45 to 0.65),-0.26 (-0.90 to 0.37)," "," "," "," "," "," ",-0.09 (-0.71 to 0.52)," "," "
Dementia,Thiazolidinediones (A10BG),-0.46 (-1.01 to 0.11), 0.04 (-0.33 to 0.40),-0.05 (-0.54 to 0.40)," ",-0.19 (-0.56 to 0.18)," "," "," "," "," "," ", 0.10 (-0.40 to 0.61), 0.05 (-0.54 to 0.64)," "
Dementia,Anticholinesterases (N06DA), 0.14 (-0.30 to 0.60), 0.27 (-0.10 to 0.63), 0.02 (-0.37 to 0.40)," ",-0.18 (-0.48 to 0.14)," "," "," "," "," "," ", 0.12 (-0.27 to 0.50),-0.76 (-1.59 to 0.06)," "
Diabetes,INSULINS AND ANALOGUES (A10A) vs Glucagon-like peptide-1 (GLP-1) analogues (A10BJ), 0.03 (-0.12 to 0.18),-0.04 (-0.17 to 0.10), 0.04 (-0.09 to 0.17)," ", 0.01 (-0.10 to 0.12)," "," ",-0.00 (-0.21 to 0.22)," "," "," ", 0.08 (-0.05 to 0.21)," "," "
Diabetes,Biguanides (A10BA) vs Glucagon-like peptide-1 (GLP-1) analogues (A10BJ), 0.15 (-0.07 to 0.37), 0.08 (-0.11 to 0.26), 0.01 (-0.18 to 0.20)," ",-0.13 (-0.26 to 0.01)," "," ", 0.14 (-0.25 to 0.53)," "," "," ",-0.01 (-0.19 to 0.17)," "," "
Diabetes,Sulfonylureas (A10BB) vs Dipeptidyl peptidase 4 (DPP-4) inhibitors (A10BH),-0.03 (-0.14 to 0.08),-0.01 (-0.10 to 0.09), 0.07 (-0.01 to 0.15)," ", 0.03 (-0.05 to 0.10)," "," ",-0.09 (-0.33 to 0.16)," "," "," ",-0.05 (-0.13 to 0.03)," "," "
Diabetes,Sulfonylureas (A10BB) vs Sodium-glucose co-transporter 2 (SGLT2) inhibitors (A10BK),-0.03 (-0.15 to 0.09), 0.04 (-0.07 to 0.16), 0.04 (-0.06 to 0.14)," ",-0.02 (-0.10 to 0.06)," "," ", 0.05 (-0.25 to 0.35)," "," "," ", 0.05 (-0.04 to 0.13)," "," "
Diabetes,Dipeptidyl peptidase 4 (DPP-4) inhibitors (A10BH) vs Glucagon-like peptide-1 (GLP-1) analogues (A10BJ), 0.15 (-0.09 to 0.40),-0.10 (-0.35 to 0.15), 0.03 (-0.20 to 0.26)," ",-0.07 (-0.24 to 0.10)," "," ",-0.01 (-0.69 to 0.67)," "," "," ",-0.05 (-0.28 to 0.17)," "," "
Diabetes,Dipeptidyl peptidase 4 (DPP-4) inhibitors (A10BH) vs Sodium-glucose co-transporter 2 (SGLT2) inhibitors (A10BK), 0.06 (-0.10 to 0.21),-0.03 (-0.16 to 0.10), 0.07 (-0.05 to 0.19)," ", 0.07 (-0.04 to 0.17)," "," ",-0.02 (-0.31 to 0.28)," "," "," ",-0.08 (-0.19 to 0.03)," "," "
Diabetes,Dipeptidyl peptidase 4 (DPP-4) inhibitors (A10BH), 0.11 (0.00 to 0.21), 0.01 (-0.06 to 0.07), 0.03 (-0.05 to 0.10)," ", 0.06 (-0.07 to 0.19)," "," ", 0.01 (-0.06 to 0.09)," "," "," ", 0.00 (-0.06 to 0.07)," "," "
Diabetes,Glucagon-like peptide-1 (GLP-1) analogues (A10BJ),-0.19 (-0.91 to 0.57), 0.46 (0.08 to 0.85)*,-0.40 (-0.72 to -0.08)*," ", 0.25 (0.04 to 0.47)*," "," ", 0.61 (-0.22 to 1.45)," "," "," ", 0.31 (-0.10 to 0.70)," "," "
Diabetes,Sodium-glucose co-transporter 2 (SGLT2) inhibitors (A10BK),-0.04 (-0.11 to 0.03), 0.02 (-0.04 to 0.09), 0.02 (-0.03 to 0.07)," ", 0.01 (-0.03 to 0.05)," "," ", 0.06 (-0.03 to 0.17)," "," "," ",-0.01 (-0.05 to 0.04)," "," "
ED,Drugs used in erectile dysfunction (G04BE),-0.93 (-2.26 to 0.41), 0.96 (-0.58 to 2.51),-0.39 (-1.72 to 0.94)," ", 0.76 (-0.05 to 1.56),-0.26 (-1.50 to 0.97)," "," "," "," "," ", 0.15 (-1.19 to 1.48)," "," "
GORD,Proton pump inhibitors (A02BC)," ",-0.07 (-0.17 to 0.03)," ", 0.03 (-0.09 to 0.15)," ", 0.01 (-0.16 to 0.18)," "," "," ", 0.20 (-0.08 to 0.48),-0.10 (-0.35 to 0.14)," "," ",-0.02 (-0.14 to 0.10)
Gout,Preparations inhibiting uric acid production (M04AA)," ", 0.67 (-0.41 to 1.74)," ",-0.66 (-1.75 to 0.43)," ",-0.67 (-2.06 to 0.71), 0.64 (-1.23 to 2.51), 0.66 (-0.96 to 2.27)," "," "," "," "," ", 1.85 (0.40 to 3.31)*
Hypertension,"ACE inhibitors, plain (C09AA) vs Angiotensin II antagonists, plain (C09CA)",-0.39 (-1.27 to 0.55), 0.32 (-0.45 to 1.09),-0.17 (-0.86 to 0.51),-0.02 (-0.99 to 0.94)," "," "," "," "," "," "," ", 0.38 (-0.33 to 1.11),-0.08 (-1.47 to 1.32)," "
Hypertension,"Thiazides, plain (C03AA)",-1.64 (-3.81 to 0.53), 0.68 (-1.17 to 2.53), 1.30 (-0.48 to 3.08), 0.61 (-1.33 to 2.55)," "," "," "," "," "," "," ", 0.04 (-1.58 to 1.67),-0.97 (-4.27 to 2.33)," "
Hypertension,"Angiotensin II antagonists, plain (C09CA)", 1.20 (-0.87 to 3.27),-1.07 (-2.99 to 0.85), 2.56 (0.94 to 4.18)*, 1.03 (-1.18 to 3.25)," "," "," "," "," "," "," ",-0.24 (-2.03 to 1.54), 2.28 (-2.69 to 7.25)," "
IBD,Selective immunosuppressants (L04AA), 0.09 (-0.20 to 0.38), 0.17 (-0.25 to 0.57), 0.52 (-0.02 to 1.06)," ", 0.05 (-0.37 to 0.49)," "," "," "," "," ",-0.17 (-0.70 to 0.39), 0.06 (-0.26 to 0.35)," "," "
IBD,Tumor necrosis factor alpha (TNF-) inhibitors (L04AB), 0.03 (-0.30 to 0.35), 0.12 (-0.27 to 0.48),-0.30 (-0.75 to 0.22)," ", 0.12 (-0.42 to 0.74)," "," "," "," "," ",-0.25 (-0.96 to 0.44),-0.07 (-0.36 to 0.23)," "," "
IBD,Interleukin inhibitors (L04AC)-IL12-IL23,-0.16 (-0.60 to 0.31),-0.31 (-0.80 to 0.17), 0.53 (-0.01 to 1.05)," ", 0.58 (-0.07 to 1.25)," "," "," "," "," ",-0.34 (-1.39 to 0.73),-0.02 (-0.39 to 0.35)," "," "
Osteoporosis,Bisphosphonates (M05BA) vs Parathyroid hormones and analogues (H05AA), 0.01 (-0.22 to 0.23),-0.24 (-0.47 to -0.01)*, 0.02 (-0.24 to 0.29)," ",-0.01 (-0.23 to 0.21)," "," "," "," "," "," ", 0.01 (-0.21 to 0.23), 0.34 (0.02 to 0.67)*," "
Osteoporosis,Parathyroid hormones and analogues (H05AA),-0.09 (-0.31 to 0.12),-0.05 (-0.25 to 0.15),-0.06 (-0.25 to 0.14)," ", 0.03 (-0.15 to 0.21)," "," "," "," "," "," ", 0.00 (-0.20 to 0.19),-0.25 (-0.54 to 0.04)," "
Osteoporosis,Bisphosphonates (M05BA), 0.00 (-0.05 to 0.06),-0.03 (-0.09 to 0.03), 0.02 (-0.03 to 0.07)," ", 0.02 (-0.03 to 0.07)," "," "," "," "," "," ",-0.02 (-0.07 to 0.03), 0.06 (-0.02 to 0.12)," "
Parkinson Disease,Dopamine agonists (N04BC), 0.10 (-0.61 to 0.81), 0.37 (-0.20 to 0.95), 0.18 (-0.44 to 0.81)," ",-0.15 (-0.69 to 0.40), 0.68 (-0.14 to 1.47)," "," "," "," "," ",-0.22 (-0.85 to 0.40)," "," "
Psoriasis,Interleukin inhibitors (L04AC)-IL12-IL23," ",-0.20 (-0.71 to 0.30),-0.45 (-0.90 to -0.02)*," ", 0.11 (-0.27 to 0.48), 0.34 (-0.20 to 0.90)," "," "," "," "," ",-0.31 (-0.79 to 0.16)," "," "
Psoriasis,Interleukin inhibitors (L04AC)-IL17A," ", 0.06 (-0.15 to 0.27), 0.04 (-0.15 to 0.23)," ", 0.46 (-0.87 to 1.82), 0.04 (-0.21 to 0.30)," "," "," "," "," ",-0.06 (-0.25 to 0.13)," "," "
"Pulmonary Disease, Chronic Obstructive",Selective beta-2-adrenoreceptor agonists (R03AC), 0.00 (-0.93 to 0.94),-0.30 (-1.13 to 0.54),-0.04 (-1.01 to 0.94)," ",-0.39 (-1.06 to 0.28), 0.10 (-0.96 to 1.16)," "," "," "," "," ", 0.19 (-0.80 to 1.17)," "," "
"Pulmonary Disease, Chronic Obstructive",Glucocorticoids (R03BA),-0.22 (-0.65 to 0.21), 0.14 (-0.24 to 0.50),-0.29 (-0.67 to 0.10)," ", 0.07 (-0.21 to 0.35), 0.03 (-0.40 to 0.46)," "," "," "," "," ",-0.00 (-0.36 to 0.37)," "," "
"Pulmonary Disease, Chronic Obstructive",Selective beta-2-adrenoreceptor agonists (R03AC) vs Anticholinergics (R03BB), 0.33 (-0.26 to 0.94),-0.02 (-0.67 to 0.59), 0.11 (-0.61 to 0.82)," ",-0.11 (-0.52 to 0.30), 0.27 (-0.29 to 0.85)," "," "," "," "," ", 0.27 (-0.30 to 0.84)," "," "
Pulmonary Fibrosis,Other protein kinase inhibitors (L01EX), 0.18 (-0.40 to 0.76),-0.19 (-0.82 to 0.46),-0.16 (-0.80 to 0.50), 0.15 (-0.50 to 0.81), 0.15 (-0.45 to 0.76)," "," "," "," "," "," ", 0.28 (-0.30 to 0.91)," "," "
Restless Legs Syndrome,Dopamine agonists (N04BC), 0.59 (-0.40 to 1.58),-0.76 (-1.64 to 0.07), 0.07 (-0.72 to 0.86)," ", 0.20 (-0.72 to 1.14)," "," "," "," "," "," ", 0.43 (-0.34 to 1.16)," ",-0.26 (-1.32 to 0.82)
"Rhinitis, allergic",fluticasone (R01AD08), 7.58 (-2.42 to 17.58), 1.26 (-5.50 to 8.03), 5.68 (-1.44 to 12.79)," ",-6.12 (-13.61 to 1.37)," "," "," "," "," "," ",-1.94 (-7.47 to 3.58)," ", 5.49 (-2.92 to 13.91)
Systemic Lupus Erythematosus,Selective immunosuppressants (L04AA), 0.01 (-0.24 to 0.27), 0.11 (-0.16 to 0.38),-0.09 (-0.39 to 0.20)," ",-0.02 (-0.26 to 0.22)," "," "," "," "," ",-0.17 (-0.46 to 0.12), 0.12 (-0.16 to 0.41)," "," "
