Index condition,Treatment comparison,BMI,EGFR,FIB4,HGB,MBP
Ankylosing Spondylitis,Tumor necrosis factor alpha (TNF-) inhibitors (L04AB), 0.08 (-0.01 to 0.16),-0.06 (-0.14 to 0.03)," ",-0.04 (-0.51 to 0.43), 0.02 (-0.06 to 0.10)
Ankylosing Spondylitis,Interleukin inhibitors (L04AC)-IL6,-0.03 (-0.12 to 0.06)," ",-0.02 (-0.21 to 0.16),-0.01 (-0.10 to 0.08),-0.02 (-0.14 to 0.09)
Asthma,Glucocorticoids (R03BA), 0.02 (-0.63 to 0.67),-3.46 (-20.79 to 13.86),-1.24 (-3.42 to 0.94),-1.16 (-2.27 to -0.05)*," "
Asthma,Other systemic drugs for obstructive airway diseases (R03DX), 0.14 (-0.51 to 0.79),-0.28 (-8.26 to 7.70), 0.33 (-0.92 to 1.58),-0.26 (-1.12 to 0.61), 0.47 (-0.30 to 1.24)
BPH,Drugs used in erectile dysfunction (G04BE), 0.08 (-0.31 to 0.48),-0.36 (-1.11 to 0.53),-0.03 (-0.36 to 0.32),-0.06 (-0.37 to 0.27),-0.02 (-0.39 to 0.36)
CIU,Other systemic drugs for obstructive airway diseases (R03DX), 0.04 (-0.12 to 0.20),-0.03 (-0.88 to 0.79), 0.20 (-0.41 to 0.84),-0.11 (-0.43 to 0.20), 0.12 (-0.16 to 0.41)
Dementia,Thiazolidinediones (A10BG), 0.16 (-0.08 to 0.39),-0.01 (-0.17 to 0.15),-0.06 (-0.24 to 0.12),-0.14 (-0.36 to 0.08),-0.06 (-0.26 to 0.14)
Dementia,Anticholinesterases (N06DA),-0.01 (-0.22 to 0.20), 0.05 (-0.13 to 0.25),-0.01 (-0.14 to 0.12),-0.28 (-1.25 to 0.72),-0.03 (-0.19 to 0.16)
Diabetes,INSULINS AND ANALOGUES (A10A) vs Glucagon-like peptide-1 (GLP-1) analogues (A10BJ), 0.02 (-0.02 to 0.06),-0.01 (-0.13 to 0.11),-0.02 (-0.07 to 0.03), 0.07 (0.02 to 0.12)*,-0.02 (-0.07 to 0.04)
Diabetes,Biguanides (A10BA) vs Glucagon-like peptide-1 (GLP-1) analogues (A10BJ),-0.01 (-0.07 to 0.04), 0.18 (-0.44 to 0.81),-0.06 (-0.13 to 0.02),-0.01 (-0.07 to 0.06),-0.03 (-0.10 to 0.03)
Diabetes,Sulfonylureas (A10BB) vs Dipeptidyl peptidase 4 (DPP-4) inhibitors (A10BH),-0.00 (-0.04 to 0.03), 0.21 (-0.29 to 0.70),-0.01 (-0.06 to 0.04),-0.02 (-0.06 to 0.02), 0.02 (-0.03 to 0.07)
Diabetes,Sulfonylureas (A10BB) vs Sodium-glucose co-transporter 2 (SGLT2) inhibitors (A10BK), 0.02 (-0.03 to 0.06),-0.01 (-0.04 to 0.03),-0.10 (-0.15 to -0.04)*,-0.04 (-0.30 to 0.22), 0.01 (-0.03 to 0.06)
Diabetes,Dipeptidyl peptidase 4 (DPP-4) inhibitors (A10BH) vs Glucagon-like peptide-1 (GLP-1) analogues (A10BJ), 0.03 (-0.06 to 0.11), 0.46 (-0.24 to 1.16), 0.03 (-0.09 to 0.15), 0.02 (-0.07 to 0.11),-0.00 (-0.10 to 0.10)
Diabetes,Dipeptidyl peptidase 4 (DPP-4) inhibitors (A10BH) vs Sodium-glucose co-transporter 2 (SGLT2) inhibitors (A10BK),-0.03 (-0.08 to 0.02), 0.02 (-0.04 to 0.07),-0.03 (-0.09 to 0.04),-0.43 (-0.79 to -0.07)*,-0.05 (-0.12 to 0.01)
Diabetes,Dipeptidyl peptidase 4 (DPP-4) inhibitors (A10BH), 0.02 (-0.00 to 0.05),-0.01 (-0.03 to 0.02), 0.03 (-0.02 to 0.07),-0.00 (-0.03 to 0.03),-0.00 (-0.03 to 0.03)
Diabetes,Glucagon-like peptide-1 (GLP-1) analogues (A10BJ), 0.09 (0.00 to 0.17),-0.17 (-0.37 to 0.02), 0.09 (-0.07 to 0.25),-0.15 (-0.26 to -0.04)*,-0.02 (-0.15 to 0.12)
Diabetes,Sodium-glucose co-transporter 2 (SGLT2) inhibitors (A10BK), 0.00 (-0.02 to 0.02),-0.03 (-0.05 to -0.01)*,-0.02 (-0.05 to 0.00),-0.01 (-0.03 to 0.00), 0.01 (-0.01 to 0.03)
ED,Drugs used in erectile dysfunction (G04BE),-0.11 (-0.53 to 0.31),-0.31 (-1.29 to 0.68), 0.03 (-0.51 to 0.56),-0.07 (-0.49 to 0.34),-0.09 (-0.57 to 0.38)
GORD,Proton pump inhibitors (A02BC),-0.02 (-0.06 to 0.01), 0.08 (-0.06 to 0.21)," ",-0.03 (-0.07 to 0.02), 0.00 (-0.03 to 0.04)
Gout,Preparations inhibiting uric acid production (M04AA), 0.01 (-0.25 to 0.27),-0.10 (-0.67 to 0.46)," ",-0.12 (-0.52 to 0.28), 0.27 (-0.03 to 0.57)
Hypertension,"ACE inhibitors, plain (C09AA) vs Angiotensin II antagonists, plain (C09CA)", 0.12 (-0.32 to 0.54),-0.47 (-1.46 to 0.50),-0.21 (-0.74 to 0.31),-0.36 (-0.84 to 0.12), 0.28 (-0.21 to 0.76)
Hypertension,"Thiazides, plain (C03AA)", 0.52 (0.04 to 1.00)*, 0.00 (-1.22 to 1.22),-0.21 (-0.72 to 0.29), 0.02 (-0.61 to 0.64),-0.16 (-0.71 to 0.39)
Hypertension,"Angiotensin II antagonists, plain (C09CA)", 1.21 (0.45 to 1.98)*, 2.27 (-0.19 to 4.73), 0.43 (-0.26 to 1.11),-0.11 (-0.98 to 0.75), 0.09 (-1.03 to 1.21)
IBD,Selective immunosuppressants (L04AA),-0.02 (-0.20 to 0.16), 0.09 (-0.62 to 0.80)," ",-0.00 (-0.13 to 0.13), 0.03 (-0.14 to 0.21)
IBD,Tumor necrosis factor alpha (TNF-) inhibitors (L04AB),-0.05 (-0.21 to 0.12),-0.08 (-0.30 to 0.11)," ", 0.69 (-0.24 to 1.67),-0.05 (-0.78 to 0.70)
IBD,Interleukin inhibitors (L04AC)-IL12-IL23," ",-0.06 (-0.25 to 0.12)," ", 0.16 (-0.64 to 0.94)," "
Inflammatory Arthropathy,Tumor necrosis factor alpha (TNF-) inhibitors (L04AB) vs Interleukin inhibitors (L04AC)-IL6, 0.22 (-0.79 to 1.23), 0.29 (-2.35 to 2.92),-0.58 (-2.83 to 1.67), 0.09 (-1.11 to 1.30),-1.11 (-2.39 to 0.17)
Inflammatory Arthropathy,Tumor necrosis factor alpha (TNF-) inhibitors (L04AB), 0.12 (-0.47 to 0.71), 0.38 (-0.17 to 0.92)," ", 0.35 (-1.31 to 1.98), 0.13 (-0.52 to 0.79)
Inflammatory Arthropathy,Interleukin inhibitors (L04AC)-IL12-IL23,-0.63 (-3.52 to 2.26), 1.61 (-2.44 to 5.66)," ",-12.10 (-28.41 to 4.21), 3.96 (0.58 to 7.35)*
Inflammatory Arthropathy,Interleukin inhibitors (L04AC)-IL6,-0.18 (-0.69 to 0.35),-0.46 (-2.12 to 1.18),-0.13 (-1.19 to 0.90), 0.08 (-0.55 to 0.71),-0.01 (-0.64 to 0.63)
Osteoporosis,Bisphosphonates (M05BA) vs Parathyroid hormones and analogues (H05AA),-0.02 (-0.11 to 0.08),-0.11 (-0.27 to 0.06),-0.05 (-0.16 to 0.06),-0.01 (-0.11 to 0.09), 0.13 (0.03 to 0.24)*
Osteoporosis,Parathyroid hormones and analogues (H05AA),-0.06 (-0.17 to 0.05),-0.05 (-0.16 to 0.04),-0.07 (-0.39 to 0.26), 0.02 (-0.10 to 0.16), 0.03 (-0.05 to 0.11)
Osteoporosis,Bisphosphonates (M05BA), 0.00 (-0.03 to 0.04),-0.01 (-0.03 to 0.02), 0.02 (-0.01 to 0.05),-0.01 (-0.04 to 0.02), 0.01 (-0.01 to 0.04)
Parkinson Disease,Dopamine agonists (N04BC),-0.04 (-0.33 to 0.24), 0.26 (-0.24 to 0.78),-0.00 (-0.34 to 0.33), 0.06 (-0.27 to 0.39),-0.02 (-0.30 to 0.26)
Psoriasis,Tumor necrosis factor alpha (TNF-) inhibitors (L04AB), 0.13 (-0.03 to 0.29),-0.12 (-0.29 to 0.05)," ",-1.51 (-2.48 to -0.54)*,-0.01 (-0.17 to 0.15)
Psoriasis,Interleukin inhibitors (L04AC)-IL12-IL23,-0.00 (-0.11 to 0.11),-0.05 (-0.19 to 0.08)," ", 0.30 (-0.52 to 1.11),-0.05 (-0.19 to 0.09)
Psoriasis,Interleukin inhibitors (L04AC)-IL17A,-0.02 (-0.08 to 0.04), 0.03 (-0.45 to 0.49),-0.12 (-0.24 to 0.00), 0.28 (0.13 to 0.44)*,-0.17 (-0.26 to -0.07)*
"Pulmonary Disease, Chronic Obstructive",Selective beta-2-adrenoreceptor agonists (R03AC),-0.22 (-0.50 to 0.05)," "," "," ",-0.27 (-0.60 to 0.07)
"Pulmonary Disease, Chronic Obstructive",Glucocorticoids (R03BA), 0.11 (-0.03 to 0.26)," "," "," ",-0.15 (-0.33 to 0.01)
"Pulmonary Disease, Chronic Obstructive",Selective beta-2-adrenoreceptor agonists (R03AC) vs Anticholinergics (R03BB),-0.11 (-0.46 to 0.24)," "," "," ", 0.03 (-0.44 to 0.49)
Pulmonary Fibrosis,Other protein kinase inhibitors (L01EX), 0.10 (-0.20 to 0.42), 0.55 (-0.23 to 1.31),-0.26 (-0.52 to 0.02),-0.19 (-0.50 to 0.14), 0.10 (-0.17 to 0.37)
Restless Legs Syndrome,Dopamine agonists (N04BC), 0.05 (-0.34 to 0.44), 0.05 (-0.80 to 0.90), 0.05 (-0.70 to 0.82),-0.05 (-0.62 to 0.50),-0.05 (-0.54 to 0.45)
"Rhinitis, allergic",fluticasone (R01AD08), 0.03 (-1.80 to 1.86),-4.87 (-12.14 to 2.40), 2.86 (-2.91 to 8.62),-0.81 (-3.85 to 2.22),-1.75 (-4.21 to 0.70)
Systemic Lupus Erythematosus,Selective immunosuppressants (L04AA),-0.02 (-0.13 to 0.10)," ",-0.13 (-0.33 to 0.08), 0.01 (-0.11 to 0.13),-0.01 (-0.16 to 0.13)
